iso3;year;SSP1;SSP2;SSP3;SSP4;SSP5
SDN;2065;15215,55109;10154,87566;3774,037271;4729,035732;20799,4737
SDN;2070;17767,39593;11582,08852;3895,006474;5062,273422;24890,28074
SDN;2075;20403,04367;13247,31498;4034,402537;5433,64868;29195,16138
SDN;2080;23019,30906;15149,33762;4184,6949;5834,627829;33547,50217
SDN;2085;25558,98163;17240,87915;4347,027397;6268,96073;38320,25223
SDN;2090;28009,08512;19455,29157;4519,47813;6736,610457;43990,65197
SDN;2095;30382,69442;21712,57508;4705,998109;7245,70971;50916,06206
SDN;2100;32792,39073;23974,86633;4907,610721;7799,739467;59210,89075
SEN;1970;1279,609203;1279,609203;1279,609203;1279,609203;1279,609203
SEN;1975;1238,801922;1238,801922;1238,801922;1238,801922;1238,801922
SEN;1980;1137,661365;1137,661365;1137,661365;1137,661365;1137,661365
SEN;1985;1132,258965;1132,258965;1132,258965;1132,258965;1132,258965
SEN;1990;1127,299242;1127,299242;1127,299242;1127,299242;1127,299242
SEN;1995;1168,562921;1168,562921;1168,562921;1168,562921;1168,562921
SEN;2000;1323,771317;1323,771317;1323,771317;1323,771317;1323,771317
SEN;2005;1464,720913;1464,720913;1464,720913;1464,720913;1464,720913
SEN;2010;1491,921253;1491,921253;1491,921253;1491,921253;1491,921253
SEN;2015;1737,089995;1624,378256;1555,860743;1554,426206;1739,7761
SEN;2020;2090,332278;1789,904881;1603,495944;1606,587057;2115,581742
SEN;2025;2557,322788;1997,436941;1644,751078;1662,495198;2647,393918
SEN;2030;3085,333827;2224,461496;1670,676827;1718,869435;3302,293009
SEN;2035;3696,04251;2475,137823;1685,730541;1780,919926;4122,790301
SEN;2040;4418,302961;2759,394818;1689,249949;1848,142504;5161,577198
SEN;2045;5299,711227;3096,88844;1689,622397;1926,633298;6495,202069
SEN;2050;6373,920947;3506,649427;1696,486324;2027,025455;8189,310127
SEN;2055;7616,590308;3993,749046;1717,025758;2158,655058;10233,00225
SEN;2060;8992,449534;4556,513293;1750,595374;2322,007492;12592,78527
SEN;2065;10472,7325;5196,662703;1791,366629;2507,616377;15219,50607
SEN;2070;12171,30055;5932,11462;1836,499487;2711,087445;18304,21927
SEN;2075;14101,20314;6779,626424;1883,234322;2928,499274;21874,34692
SEN;2080;16221,5317;7752,969751;1929,73552;3157,319308;25859,50466
SEN;2085;18437,57052;8870,600435;1977,131015;3400,173621;30088,16112
SEN;2090;20690,38778;10134,70703;2027,310687;3661,124561;34485,20947
SEN;2095;22947,22271;11536,45017;2080,686128;3941,61457;39461,59458
SEN;2100;25203,74834;13047,36669;2137,671083;4243,007486;45441,36172
SGP;1970;6799,334373;6799,334373;6799,334373;6799,334373;6799,334373
SGP;1975;10186,81993;10186,81993;10186,81993;10186,81993;10186,81993
SGP;1980;14304,22175;14304,22175;14304,22175;14304,22175;14304,22175
SGP;1985;17339,28473;17339,28473;17339,28473;17339,28473;17339,28473
SGP;1990;22934,5549;22934,5549;22934,5549;22934,5549;22934,5549
SGP;1995;31282,05846;31282,05846;31282,05846;31282,05846;31282,05846
SGP;2000;38158,35436;38158,35436;38158,35436;38158,35436;38158,35436
SGP;2005;41864,77248;41864,77248;41864,77248;41864,77248;41864,77248
SGP;2010;47311,08963;47311,08963;47311,08963;47311,08963;47311,08963
SGP;2015;53037,51311;52938,70075;51456,36334;52822,25329;52839,27977
SGP;2020;58528,51484;58220,57873;53721,82351;57698,29783;58661,71127
SGP;2025;61665,13141;60996,60296;53495,48573;59760,27677;62340,24957
SGP;2030;63905,5869;62863,01475;53191,43295;60666,93579;65342,81119
SGP;2035;66802,63203;65474,24955;54236,00642;62055,09228;69187,12017
SGP;2040;70485,98197;68951,32512;56506,54705;64045,87161;73931,66146
SGP;2045;74796,0914;73015,29937;59531,22328;66430,12429;79423,90842
SGP;2050;79416,89441;77163,33133;62664,88245;68863,38359;85399,5133
SGP;2055;84192,14222;81132,2555;65647,60857;71240,39048;91768,58277
SGP;2060;89003,96226;84914,6437;68500,68616;73595,17367;98414,12821
SGP;2065;93946,90862;88846,31251;71581,07259;76204,77269;105379,8677
SGP;2070;99027,52944;92968,72015;74972,42906;79091,44749;112531,8858
SGP;2075;104389,1298;97281,86192;78593,26957;82242,54388;119979,5245
SGP;2080;109831,2674;101663,856;82239,68116;85578,01261;127618,008
SGP;2085;115600,0035;106096,3078;85799,74372;89131,52554;135824,2204
SGP;2090;121826,5045;110525,4191;89324,42064;92835,04486;144858,6952
SGP;2095;128123,9566;114993,5631;93016,02493;96623,37428;154289,9633
SGP;2100;134644,8479;119799,1416;97084,70453;100658,4498;164101,914
SLB;1970;1357,364186;1357,364186;1357,364186;1357,364186;1357,364186
SLB;1975;1355,234797;1355,234797;1355,234797;1355,234797;1355,234797
SLB;1980;1731,753919;1731,753919;1731,753919;1731,753919;1731,753919
SLB;1985;1773,588191;1773,588191;1773,588191;1773,588191;1773,588191
SLB;1990;1603,942596;1603,942596;1603,942596;1603,942596;1603,942596
SLB;1995;1788,2987;1788,2987;1788,2987;1788,2987;1788,2987
SLB;2000;1330,845855;1330,845855;1330,845855;1330,845855;1330,845855
SLB;2005;1427,143253;1427,143253;1427,143253;1427,143253;1427,143253
SLB;2010;2004,500136;2004,500136;2004,500136;2004,500136;2004,500136
SLB;2015;2718,160576;2638,969741;2606,836618;2599,45895;2721,613737
SLB;2020;3820,050254;3520,075077;3460,085763;3356,61345;3858,023024
SLB;2025;5167,819959;4472,541838;4371,072435;4082,290512;5317,085778
SLB;2030;6490,015931;5293,605283;5088,819429;4599,97989;6863,521049
SLB;2035;7801,65338;6045,912326;5625,813293;5000,944838;8525,826257
SLB;2040;9136,773012;6782,679735;6016,813249;5335,941292;10339,31814
SLB;2045;10615,69378;7608,973515;6356,911654;5684,659436;12435,73314
SLB;2050;12337,17189;8576,369004;6692,874784;6082,677885;14935,27626
